date,confirmedNum,curesNum
2022-04-21,24391,21159
2022-04-20,24338,20755
2022-04-19,24250,20346
2022-04-18,24125,19928
2022-04-17,24051,19527
2022-04-16,23907,18953
2022-04-15,23782,18316
2022-04-14,23625,17478
2022-04-13,23487,17105
2022-04-12,23202,16498
2022-04-11,23029,15617
2022-04-10,22948,14708
2022-04-09,22846,13936
2022-04-08,22671,12659
2022-04-07,22521,11447
2022-04-06,22047,10316
2022-04-05,21281,9573
2022-04-04,20464,8461
2022-04-03,19860,7493
2022-04-02,19286,6557
2022-04-01,18563,5069
2022-03-31,17019,2892
2022-03-30,15941,2560
2022-03-29,14944,2197
2022-03-28,14069,1764
2022-03-27,13447,1408
2022-03-26,12741,1121
2022-03-25,12108,775
2022-03-24,11554,519
2022-03-23,10978,345
2022-03-22,9698,218
2022-03-21,7719,128
2022-03-20,6282,66
2022-03-19,5203,0
2022-03-18,4370,0
2022-03-17,3627,0
2022-03-16,3033,0
2022-03-15,2765,0
2022-03-14,1721,0
2022-03-13,1261,0
2022-03-12,831,0
2022-03-11,0,0
