date,confirmedNum,curesNum
2022-03-27,1714,1112
2022-03-26,1712,1056
2022-03-25,1710,941
2022-03-24,1706,941
2022-03-23,1699,930
2022-03-22,1690,873
2022-03-21,1674,796
2022-03-20,1650,710
2022-03-19,1614,630
2022-03-18,1545,150
2022-03-17,1489,150
2022-03-16,1412,150
2022-03-15,1329,123
2022-03-14,1260,114
2022-03-13,1206,87
2022-03-12,1105,87
2022-03-11,1028,65
2022-03-10,980,65
2022-03-09,935,56
2022-03-08,899,56
2022-03-07,868,34
2022-03-06,818,34
2022-03-05,765,34
2022-03-04,688,25
2022-03-03,603,22
2022-03-02,485,22
2022-03-01,425,22
2022-02-28,344,21
2022-02-27,294,21
2022-02-26,233,21
2022-02-25,201,17
2022-02-24,166,13
2022-02-23,142,10
2022-02-22,114,10
2022-02-21,90,8
2022-02-20,76,8
2022-02-19,62,7
2022-02-18,41,3
2022-02-17,27,3
2022-02-16,21,3
2022-02-15,11,2
2022-02-14,0,0
