date,confirmedNum,curesNum
2022-05-07,55290,48606
2022-05-06,55073,47665
2022-05-05,54820,46001
2022-05-04,54575,44611
2022-05-03,54312,42872
2022-05-02,54049,41003
2022-05-01,53775,37021
2022-04-30,53046,32779
2022-04-29,52257,29723
2022-04-28,51007,26912
2022-04-27,45518,24432
2022-04-26,44226,22122
2022-04-25,42620,19482
2022-04-24,40959,17539
2022-04-23,38487,15088
2022-04-22,37086,12845
2022-04-21,34350,10966
2022-04-20,32419,9230
2022-04-19,29784,8053
2022-04-18,27289,6368
2022-04-17,24205,5151
2022-04-16,21785,4418
2022-04-15,18545,4041
2022-04-14,14951,3066
2022-04-13,11751,2517
2022-04-12,9178,1776
2022-04-11,7988,1435
2022-04-10,6990,1044
2022-04-09,6073,746
2022-04-08,5058,519
2022-04-07,4041,400
2022-04-06,3213,343
2022-04-05,2884,296
2022-04-04,2569,255
2022-04-03,2298,228
2022-04-02,1865,198
2022-04-01,1421,167
2022-03-31,1159,128
2022-03-30,794,102
2022-03-29,436,73
2022-03-28,107,28
2022-03-27,0,0
